Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
IPCA;2021-09-24;4/2021;1,548;1,5479;0,209;1,1342;2,0639;76;1
IPCA;2021-09-24;1/2022;1,2435;1,2047;0,2224;0,621;1,7091;68;1
IPCA;2021-09-24;2/2022;0,8153;0,8322;0,2508;0,1992;1,3558;67;1
IPCA;2021-09-24;3/2022;0,8678;0,8723;0,2231;0,0787;1,4775;67;1
IPCA;2021-09-24;4/2022;1,1701;1,1846;0,2515;0,4397;1,8509;67;1
IPCA;2021-09-24;1/2023;1,0556;1,0536;0,1816;0,6413;1,6591;43;1
IPCA;2021-09-24;2/2023;0,7591;0,7459;0,1796;0,4306;1,2552;42;1
IPCA;2021-09-24;3/2021;2,9082;2,9585;0,185;2,266;3,2029;132;0
IPCA;2021-09-24;4/2021;1,548;1,5277;0,203;1,1342;2,1045;130;0
IPCA;2021-09-24;1/2022;1,2681;1,2098;0,2231;0,621;1,7398;122;0
IPCA;2021-09-24;2/2022;0,7588;0,782;0,2819;0,1393;1,5035;121;0
IPCA;2021-09-24;3/2022;0,8721;0,8926;0,2016;0,0787;1,4775;121;0
IPCA;2021-09-24;4/2022;1,1821;1,2047;0,2331;0,4397;1,8509;121;0
IPCA;2021-09-24;1/2023;1,0677;1,0631;0,1817;0,6012;1,6591;82;0
IPCA;2021-09-24;2/2023;0,7428;0,7217;0,1601;0,4306;1,2552;79;0
IPCA;2021-09-27;3/2021;2,9462;3,0349;0,2154;2,266;3,2029;74;1
IPCA;2021-09-27;4/2021;1,5502;1,5578;0,2032;1,1342;2,0639;72;1
IPCA;2021-09-27;1/2022;1,2622;1,2048;0,2283;0,621;1,7091;64;1
IPCA;2021-09-27;2/2022;0,7903;0,812;0,2569;0,1992;1,3558;63;1
IPCA;2021-09-27;3/2022;0,8518;0,8523;0,2191;0,0787;1,4775;63;1
IPCA;2021-09-27;4/2022;1,1638;1,1846;0,2496;0,4397;1,8509;63;1
IPCA;2021-09-27;1/2023;1,0427;1,0537;0,1892;0,6012;1,6591;44;1
IPCA;2021-09-27;2/2023;0,7464;0,7158;0,1795;0,4306;1,2552;42;1
IPCA;2021-09-27;3/2021;2,9207;2,9585;0,1873;2,266;3,2029;133;0
IPCA;2021-09-27;4/2021;1,5503;1,5375;0,2024;1,1342;2,1045;131;0
IPCA;2021-09-27;1/2022;1,2703;1,2148;0,2221;0,621;1,7398;123;0
IPCA;2021-09-27;2/2022;0,7552;0,782;0,2832;0,1393;1,5035;122;0
IPCA;2021-09-27;3/2022;0,872;0,8926;0,2006;0,0787;1,4775;122;0
IPCA;2021-09-27;4/2022;1,1814;1,2047;0,2324;0,4397;1,8509;122;0
IPCA;2021-09-27;1/2023;1,0678;1,0632;0,1806;0,6012;1,6591;83;0
