Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
IPCA;2024-10-11;10/2025;0,3403;0,3335;0,0748;0,101;0,52;134;0
Câmbio;2024-10-11;10/2025;5,3446;5,32;0,1742;4,9;5,7;41;1
Câmbio;2024-10-11;10/2025;5,3591;5,355;0,1716;4,7;5,7;110;0
Taxa de desocupação;2024-10-11;10/2025;7,0073;6,9236;0,5193;6,1;8,3;17;1
Taxa de desocupação;2024-10-11;10/2025;7,0922;7,0;0,533;6,0;8,6;57;0
IPCA Livres;2024-10-11;10/2025;0,3824;0,38;0,0946;0,2;0,58;23;1
IPCA Livres;2024-10-11;10/2025;0,377;0,363;0,0863;0,2;0,62;82;0
IPCA Serviços;2024-10-11;10/2025;0,3695;0,335;0,1183;0,19;0,69;22;1
IPCA Serviços;2024-10-11;10/2025;0,377;0,35;0,1131;0,1;0,71;78;0
IPCA Bens industrializados;2024-10-11;10/2025;0,3095;0,32;0,0771;0,14;0,41;19;1
IPCA Bens industrializados;2024-10-11;10/2025;0,3161;0,3186;0,1032;0,02;0,59;75;0
IPCA Alimentação no domicílio;2024-10-11;10/2025;0,484;0,494;0,2055;0,0;0,93;17;1
IPCA Alimentação no domicílio;2024-10-11;10/2025;0,4719;0,46;0,1769;0,0;0,94;74;0
IPCA Administrados;2024-10-11;10/2025;0,2351;0,25;0,1096;-0,17;0,37;21;1
IPCA Administrados;2024-10-11;10/2025;0,2417;0,25;0,1619;-0,5;1,0;85;0
IGP-M;2024-10-11;09/2025;0,3946;0,37;0,1542;0,1311;0,86;29;1
IGP-M;2024-10-11;09/2025;0,4059;0,3518;0,1722;0,1311;1,28;65;0
IPCA;2024-10-11;09/2025;0,2715;0,26;0,062;0,15;0,43;54;1
IPCA;2024-10-11;09/2025;0,2683;0,25;0,0677;0,1049;0,5;134;0
Câmbio;2024-10-11;09/2025;5,3365;5,35;0,1716;4,9;5,67;41;1
Câmbio;2024-10-11;09/2025;5,3531;5,35;0,1709;4,7;5,69;110;0
Taxa de desocupação;2024-10-11;09/2025;7,0543;7,0;0,4706;6,13;8,0;17;1
Taxa de desocupação;2024-10-11;09/2025;7,1311;7,1;0,5047;6,1;8,5;57;0
IPCA Livres;2024-10-11;09/2025;0,2617;0,26;0,062;0,13;0,39;23;1
IPCA Livres;2024-10-11;09/2025;0,2601;0,25;0,0767;0,11;0,55;82;0
IPCA Serviços;2024-10-11;09/2025;0,3536;0,34;0,098;0,2;0,62;22;1
IPCA Serviços;2024-10-11;09/2025;0,3605;0,36;0,1007;0,0388;0,68;78;0
IPCA Bens industrializados;2024-10-11;09/2025;0,2154;0,2068;0,0758;0,04;0,35;19;1
IPCA Bens industrializados;2024-10-11;09/2025;0,1847;0,19;0,0705;0,0;0,35;75;0
IPCA Alimentação no domicílio;2024-10-11;09/2025;0,0498;0,073;0,1935;-0,34;0,32;17;1
IPCA Alimentação no domicílio;2024-10-11;09/2025;0,0977;0,0765;0,249;-0,4412;1,21;74;0
IPCA Administrados;2024-10-11;09/2025;0,2687;0,26;0,1266;-0,17;0,51;21;1
IPCA Administrados;2024-10-11;09/2025;0,2837;0,25;0,1623;-0,17;0,98;85;0
IGP-M;2024-10-11;08/2025;0,2515;0,24;0,1128;-0,01;0,5058;29;1
IGP-M;2024-10-11;08/2025;0,2579;0,2586;0,1146;-0,01;0,56;66;0
IPCA;2024-10-11;08/2025;0,1688;0,17;0,0846;-0,0887;0,3;54;1
IPCA;2024-10-11;08/2025;0,1758;0,1624;0,0894;-0,0887;0,51;134;0
Câmbio;2024-10-11;08/2025;5,3344;5,3;0,1686;4,9;5,66;41;1
Câmbio;2024-10-11;08/2025;5,3484;5,35;0,1659;4,75;5,68;110;0
Taxa de desocupação;2024-10-11;08/2025;7,0672;7,0;0,4385;6,11;7,7;17;1
Taxa de desocupação;2024-10-11;08/2025;7,1393;7,2;0,4934;6,1;8,4;57;0
IPCA Livres;2024-10-11;08/2025;0,1246;0,12;0,0625;0,03;0,25;23;1
IPCA Livres;2024-10-11;08/2025;0,1312;0,13;0,0795;-0,1383;0,31;82;0
IPCA Serviços;2024-10-11;08/2025;0,201;0,189;0,0726;0,07;0,4;22;1
IPCA Serviços;2024-10-11;08/2025;0,1985;0,19;0,1215;-0,3964;0,5;78;0
IPCA Bens industrializados;2024-10-11;08/2025;0,2132;0,21;0,0615;0,06;0,32;19;1
IPCA Bens industrializados;2024-10-11;08/2025;0,2222;0,21;0,0703;0,06;0,44;75;0
IPCA Alimentação no domicílio;2024-10-11;08/2025;-0,1568;-0,16;0,2546;-0,6;0,3;17;1
IPCA Alimentação no domicílio;2024-10-11;08/2025;-0,1335;-0,125;0,2613;-0,77;0,74;74;0
IPCA Administrados;2024-10-11;08/2025;0,2824;0,25;0,1621;-0,01;0,81;21;1
IPCA Administrados;2024-10-11;08/2025;0,2568;0,23;0,1724;-0,12;1,07;85;0
IGP-M;2024-10-11;07/2025;0,2123;0,22;0,1243;-0,1;0,4788;29;1
IGP-M;2024-10-11;07/2025;0,2171;0,2228;0,1191;-0,1;0,61;66;0
IPCA;2024-10-11;07/2025;0,2039;0,2;0,0795;-0,1;0,38;54;1
IPCA;2024-10-11;07/2025;0,2224;0,21;0,0811;-0,1;0,46;134;0
Câmbio;2024-10-11;07/2025;5,3331;5,34;0,1695;4,9;5,65;41;1
Câmbio;2024-10-11;07/2025;5,3438;5,35;0,1632;4,75;5,67;110;0
Taxa de desocupação;2024-10-11;07/2025;7,0285;7,1;0,4237;6,09;7,7;17;1
