;trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais;data
782;20242;Elo;Crédito;Intermediário;9750700;3373192;52441349;6076939288,05;22534;3071556,87;2024-04-01
783;20232;MasterCard;Pré-Pago;Premium;252494;116808;3096776;193724865,19;0;0,0;2023-04-01
784;20212;Bandeira própria;Crédito;Outros;8052608;3907337;8486991;1492593280,75;0;0,0;2021-04-01
785;20204;Elo;Crédito;Corporativo;24343;13605;45669;128290896,04;52;93438,46;2020-10-01
786;20222;MasterCard;Pré-Pago;Empresarial;1099145;394646;15687529;973697833,18;0;0,0;2022-04-01
787;20223;VISA;Crédito;Platinum;10002375;7530805;308284311;47292452612,3;2687484;1038052506,51;2022-07-01
788;20241;Hipercard;Crédito;Empresarial;11;3;1;0,01;1;0,01;2024-01-01
789;20224;Elo;Crédito;Premium;4;1;12;3721,1;0;0,0;2022-10-01
790;20234;Bandeira própria;Crédito;Outros;13796374;2878162;11594688;1529451968,25;0;0,0;2023-10-01
791;20203;Bandeira própria;Crédito;Outros;8033028;4772910;9159330;1742666538,5;0;0,0;2020-07-01
792;20222;MasterCard;Débito;Corporativo;629;355;123763;11634810,61;20;7444,62;2022-04-01
793;20241;MasterCard;Débito;Intermediário;87043718;48709810;1000243894;48450953190,24;37499;6960850,41;2024-01-01
794;20234;American Express;Crédito;Básico Nacional;39126;30585;722271;99822055,17;3394;1176580,66;2023-10-01
795;20203;MasterCard;Crédito;Outros;15813410;5375630;57889037;5966606212,51;104455;11027647,69;2020-07-01
796;20224;MasterCard;Pré-Pago;Premium;168818;82738;2064691;137063893,62;0;0,0;2022-10-01
797;20203;Elo;Crédito;Corporativo;24434;13697;38170;131516574,77;73;110208,24;2020-07-01
798;20212;VISA;Pré-Pago;Outros;16438781;5419405;83157795;4104984998,43;201008;27829481,56;2021-04-01
799;20224;MasterCard;Crédito;Platinum;15948343;12268507;457419091;59935512224,15;3595597;957214605,74;2022-10-01
800;20211;VISA;Débito;Básico Nacional;9915531;5489345;127833903;8977825559,44;1017;157984,04;2021-01-01
801;20204;American Express;Crédito;Empresarial;22349;16353;446921;227174558,15;14951;23670131,91;2020-10-01
802;20202;Elo;Crédito;Corporativo;24501;13951;28837;112785975,87;49;207034,71;2020-04-01
803;20242;Outras;Débito;Outros;4113858;1644000;38453436;3914459088,65;0;0,0;2024-04-01
804;20241;VISA;Crédito;Básico Nacional;22632954;10387399;207690655;20406096690,63;290049;47285993,08;2024-01-01
805;20242;MasterCard;Débito;Básico Internacional;41647342;12852209;478700669;31066149663,04;51540;11127019,3;2024-04-01
806;20223;MasterCard;Pré-Pago;Básico Nacional;245323;167009;1215450;106126302,18;13186;603984,35;2022-07-01
807;20221;MasterCard;Crédito;Premium;3270328;2714750;161073545;32688766737,61;3106137;1839932802,01;2022-01-01
808;20202;VISA;Débito;Básico Nacional;8389226;4609968;82011195;5720552144,49;337;57483,59;2020-04-01
809;20214;VISA;Débito;Básico Internacional;135873852;48015424;1042643281;71777508870,5;22025;5345842,3;2021-10-01
810;20201;MasterCard;Pré-Pago;Corporativo;12710;6371;342550;21565240,02;1384;881535,43;2020-01-01
811;20241;MasterCard;Crédito;Corporativo;10309332;2392313;29943457;4513617995,35;394849;352937373,95;2024-01-01
812;20212;Elo;Pré-Pago;Outros;177335;27115;243222;19020032,41;28;741,11;2021-04-01
813;20223;VISA;Crédito;Premium;4188275;3153361;174980185;35476402324,08;3172631;1940596656,12;2022-07-01
814;20223;Elo;Pré-Pago;Básico Internacional;4797786;3091576;19110446;865580520,95;1059;277634,92;2022-07-01
815;20204;Bandeira própria;Crédito;Outros;8929260;4526428;10959066;2093743472,72;0;0,0;2020-10-01
816;20203;MasterCard;Débito;Intermediário;47619548;30887696;537332329;34643382860,12;12563;2836066,3;2020-07-01
817;20222;Elo;Crédito;Básico Internacional;4672403;2757047;49673471;8664093584,5;60031;29979040,72;2022-04-01
818;20204;Elo;Débito;Empresarial;853295;336780;8343174;1230981672,07;0;0,0;2020-10-01
819;20204;Elo;Débito;Básico Internacional;1164;303;4696;278999,02;0;0,0;2020-10-01
820;20214;MasterCard;Pré-Pago;Premium;27477;10995;137563;8616414,51;0;0,0;2021-10-01
821;20201;Elo;Débito;Básico Internacional;27672238;9665462;244340828;13231024923,08;0;0,0;2020-01-01
822;20221;Bandeira própria;Débito;Outros;25300;8769;36834;5935547,62;0;0,0;2022-01-01
